transaction_id,transaction_key,foracid,transaction_amount,amount_left,p_tran_type,digital_flag,transaction_channel_type,timestamp
BK94036280,BK94036280TRNX20097K,FA9478210156690365,1543.1625,123464.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK44077274,BK44077274TRNX20097K,FA7619556712561457,4351.62575,348141.06,C,N,BY_BRANCH,2023-07-16 00:00:00
BK23665032,BK23665032TRNX20097K,FA1820818794861055,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK66656933,BK66656933TRNX20097K,FA4395256571255170,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK14186838,BK14186838TRNX20097K,FA3403894863339345,143.341875,11478.35,C,N,BY_BRANCH,2023-07-16 00:00:00
BK30705865,BK30705865TRNX20097K,FA5942670485858553,0.323375,36.87,C,N,BY_BRANCH,2023-07-16 00:00:00
BK32475455,BK32475455TRNX20097K,FA6249234890363167,146.927625,11765.21,C,N,BY_BRANCH,2023-07-16 00:00:00
BK43057334,BK43057334TRNX20097K,FA9120365226525720,11.674375,944.95,C,N,BY_BRANCH,2023-07-16 00:00:00
BK94890405,BK94890405TRNX20097K,FA7392385378829675,6499.690750000001,519986.26,C,N,BY_BRANCH,2023-07-16 00:00:00
BK89062341,BK89062341TRNX20097K,FA8967249395127947,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK68909662,BK68909662TRNX20097K,FA6607438577118830,1.825,157.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK30225096,BK30225096TRNX20097K,FA4471199555797279,3750.0,300011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK70242090,BK70242090TRNX20097K,FA9409183270360593,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK41858152,BK41858152TRNX20097K,FA3519074889271343,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK48644636,BK48644636TRNX20097K,FA5902340657701767,5.778875,473.31,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95834210,BK95834210TRNX20097K,FA8847527149854203,144.4625,11568.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK86244194,BK86244194TRNX20097K,FA8277239434274314,86.1135,6900.08,C,N,BY_BRANCH,2023-07-16 00:00:00
BK60558578,BK60558578TRNX20097K,FA8059497888957765,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK99667022,BK99667022TRNX20097K,FA1136694784543804,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK57680939,BK57680939TRNX20097K,FA9931449601831920,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK75184380,BK75184380TRNX20097K,FA8980394910053791,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK72478187,BK72478187TRNX20097K,FA9751580256536186,12.377625,1001.21,C,N,BY_BRANCH,2023-07-16 00:00:00
BK10881607,BK10881607TRNX20097K,FA5567380637717840,3254.75,260391.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK79720376,BK79720376TRNX20097K,FA8351127464939880,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK49204446,BK49204446TRNX20097K,FA8427121053242687,412.5,33011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK17487044,BK17487044TRNX20097K,FA6304570648818518,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK83550045,BK83550045TRNX20097K,FA7342168377713626,67.979875,5449.39,C,N,BY_BRANCH,2023-07-16 00:00:00
BK70678200,BK70678200TRNX20097K,FA3254386322490018,1998.6145,159900.16,C,N,BY_BRANCH,2023-07-16 00:00:00
BK56605213,BK56605213TRNX20097K,FA9766315114739786,6.25,511.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88782941,BK88782941TRNX20097K,FA2802645632285646,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK66792681,BK66792681TRNX20097K,FA5639165521635577,1074.323125,85956.85,C,N,BY_BRANCH,2023-07-16 00:00:00
BK32552644,BK32552644TRNX20097K,FA5469494469093142,93.75,7511.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK45082765,BK45082765TRNX20097K,FA2136520861233252,375.0,30011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11634161,BK11634161TRNX20097K,FA4920989805047401,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK94951701,BK94951701TRNX20097K,FA6346476264229508,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK36471068,BK36471068TRNX20097K,FA5705604524486551,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK55235644,BK55235644TRNX20097K,FA8230069976338160,0.5755,57.04,C,N,BY_BRANCH,2023-07-16 00:00:00
BK92897095,BK92897095TRNX20097K,FA6859481227544012,890.3846250000001,71241.77,C,N,BY_BRANCH,2023-07-16 00:00:00
BK66123224,BK66123224TRNX20097K,FA8688022973692384,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK57400532,BK57400532TRNX20097K,FA7350703421125878,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK31783524,BK31783524TRNX20097K,FA1164903499661692,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK67017832,BK67017832TRNX20097K,FA3272713133814003,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK44560446,BK44560446TRNX20097K,FA2670742066011873,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK41337656,BK41337656TRNX20097K,FA7703614158849251,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK90210051,BK90210051TRNX20097K,FA2538897226748252,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88391154,BK88391154TRNX20097K,FA5066437600054164,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK92824681,BK92824681TRNX20097K,FA5388117065342613,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK84666715,BK84666715TRNX20097K,FA1472103313460759,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK70865258,BK70865258TRNX20097K,FA8292303655050310,201.8875,16162.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK14977605,BK14977605TRNX20097K,FA8726302338686005,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK61080588,BK61080588TRNX20097K,FA9109566984039699,446.095375,35698.63,C,N,BY_BRANCH,2023-07-16 00:00:00
BK24515198,BK24515198TRNX20097K,FA6347477741803500,3.181,265.48,C,N,BY_BRANCH,2023-07-16 00:00:00
BK98963125,BK98963125TRNX20097K,FA9330867803598704,1920.3125,153636.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK15873015,BK15873015TRNX20097K,FA8188372327875322,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK48015126,BK48015126TRNX20097K,FA9337087321366885,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK99187926,BK99187926TRNX20097K,FA3437010294265059,112.5,9011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK65379341,BK65379341TRNX20097K,FA9750238500545362,73.983125,5929.65,C,N,BY_BRANCH,2023-07-16 00:00:00
BK42003750,BK42003750TRNX20097K,FA9876835723186077,4529.449625,362366.97,C,N,BY_BRANCH,2023-07-16 00:00:00
BK42309327,BK42309327TRNX20097K,FA7862771492693830,56.830625,4557.45,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95906878,BK95906878TRNX20097K,FA9924795561903132,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK84284426,BK84284426TRNX20097K,FA1353138166266962,936.9158750000001,74964.27,C,N,BY_BRANCH,2023-07-16 00:00:00
BK73016462,BK73016462TRNX20097K,FA4088775107246815,5690.0,455211.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK50854814,BK50854814TRNX20097K,FA9133582984450755,8.2115,667.92,C,N,BY_BRANCH,2023-07-16 00:00:00
BK18693605,BK18693605TRNX20097K,FA4564100776621249,3574.64625,285982.7,C,N,BY_BRANCH,2023-07-16 00:00:00
BK21510805,BK21510805TRNX20097K,FA2537910248972238,1943.7875,155514.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK74513298,BK74513298TRNX20097K,FA9531217448383766,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK59744717,BK59744717TRNX20097K,FA8357133547424894,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK14465792,BK14465792TRNX20097K,FA9756612874158326,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK94609090,BK94609090TRNX20097K,FA2360792953681179,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK78452734,BK78452734TRNX20097K,FA3944334688685374,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95008357,BK95008357TRNX20097K,FA2245548812918621,1.672,144.76,C,N,BY_BRANCH,2023-07-16 00:00:00
BK74301564,BK74301564TRNX20097K,FA4161044384113289,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK35817610,BK35817610TRNX20097K,FA7289938728666800,125.0,10011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK80630110,BK80630110TRNX20097K,FA1031288929794447,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK56334358,BK56334358TRNX20097K,FA9141363925496863,0.56325,56.06,C,N,BY_BRANCH,2023-07-16 00:00:00
BK47294132,BK47294132TRNX20097K,FA8217938616934075,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK36216266,BK36216266TRNX20097K,FA4923239794639670,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11301894,BK11301894TRNX20097K,FA5099794982717373,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95966236,BK95966236TRNX20097K,FA3091474901117992,412.5,33011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK84784494,BK84784494TRNX20097K,FA8413190193064130,60.21000000000001,4827.8,C,N,BY_BRANCH,2023-07-16 00:00:00
BK12428943,BK12428943TRNX20097K,FA8411058361844758,0.6205,60.64,C,N,BY_BRANCH,2023-07-16 00:00:00
BK74716710,BK74716710TRNX20097K,FA4446727053288910,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK76004166,BK76004166TRNX20097K,FA3792808706686762,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88069495,BK88069495TRNX20097K,FA8824514150310352,6203.489750000001,496290.18,C,N,BY_BRANCH,2023-07-16 00:00:00
BK28537257,BK28537257TRNX20097K,FA9972038670721671,5928.5,474291.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88135279,BK88135279TRNX20097K,FA9474791299377091,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95445963,BK95445963TRNX20097K,FA7956958969442930,62.5,5011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK58420577,BK58420577TRNX20097K,FA1574717731996887,224.8595,17999.76,C,N,BY_BRANCH,2023-07-16 00:00:00
BK71194249,BK71194249TRNX20097K,FA5310472722439526,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK12770262,BK12770262TRNX20097K,FA5776027580999807,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK94419831,BK94419831TRNX20097K,FA8500349604040729,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK15053941,BK15053941TRNX20097K,FA4668254976722665,2561.0625,204896.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK13874990,BK13874990TRNX20097K,FA8543411569199215,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK23127058,BK23127058TRNX20097K,FA7128038792446546,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK94984023,BK94984023TRNX20097K,FA9698616092334571,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK17802551,BK17802551TRNX20097K,FA3981206252911528,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK46056751,BK46056751TRNX20097K,FA4867573286815339,132.766375,10632.31,C,N,BY_BRANCH,2023-07-16 00:00:00
BK58689457,BK58689457TRNX20097K,FA2549278380805048,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK21439561,BK21439561TRNX20097K,FA2885646635452396,1.102125,99.17,C,N,BY_BRANCH,2023-07-16 00:00:00
BK69819435,BK69819435TRNX20097K,FA2753871464951179,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK25090305,BK25090305TRNX20097K,FA1089453682731078,1372.5,109811.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK71554447,BK71554447TRNX20097K,FA4640004836756382,1371.845375,109758.63,C,N,BY_BRANCH,2023-07-16 00:00:00
BK30599282,BK30599282TRNX20097K,FA9682014648771864,3878.25,310271.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK69056943,BK69056943TRNX20097K,FA9765341853835118,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK92677663,BK92677663TRNX20097K,FA9905386064904581,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK53354972,BK53354972TRNX20097K,FA5298017229013044,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK83552708,BK83552708TRNX20097K,FA8014704112328931,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK73203628,BK73203628TRNX20097K,FA7033515582671609,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK26833459,BK26833459TRNX20097K,FA5100315538247144,225.04575,18014.66,C,N,BY_BRANCH,2023-07-16 00:00:00
BK39040274,BK39040274TRNX20097K,FA4555121323501529,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK43046182,BK43046182TRNX20097K,FA2510088984241290,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK19187656,BK19187656TRNX20097K,FA8533020173790214,1645.45,131647.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK51739914,BK51739914TRNX20097K,FA4780851864075010,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK29890257,BK29890257TRNX20097K,FA4400084254158803,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK55020902,BK55020902TRNX20097K,FA8916543896818729,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK68363890,BK68363890TRNX20097K,FA9584463851473109,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK63865989,BK63865989TRNX20097K,FA4970887718477579,2119.375,169561.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK44787493,BK44787493TRNX20097K,FA5561269128073205,535.538,42854.04,C,N,BY_BRANCH,2023-07-16 00:00:00
BK92753246,BK92753246TRNX20097K,FA2764430478945942,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK50445055,BK50445055TRNX20097K,FA7091552744735177,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK91554663,BK91554663TRNX20097K,FA1873400836993425,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK89354759,BK89354759TRNX20097K,FA5597503072371354,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK29975406,BK29975406TRNX20097K,FA1741102154914697,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK44749940,BK44749940TRNX20097K,FA3146453489497792,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK52475011,BK52475011TRNX20097K,FA5534130214956485,69571.00575,5565691.46,C,N,BY_BRANCH,2023-07-16 00:00:00
BK20270593,BK20270593TRNX20097K,FA1842598740097556,1595.0625,127616.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK68011805,BK68011805TRNX20097K,FA1715139491403435,6681.170625000001,534504.65,C,N,BY_BRANCH,2023-07-16 00:00:00
BK59093343,BK59093343TRNX20097K,FA9609180842949648,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK27640934,BK27640934TRNX20097K,FA8760679981060839,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK13450116,BK13450116TRNX20097K,FA2071604371568269,78.94500000000001,6326.6,C,N,BY_BRANCH,2023-07-16 00:00:00
BK99122004,BK99122004TRNX20097K,FA9902744207047720,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11048973,BK11048973TRNX20097K,FA7698291318079542,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK66657699,BK66657699TRNX20097K,FA9745582290586187,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK15140412,BK15140412TRNX20097K,FA6038479135692017,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11742544,BK11742544TRNX20097K,FA3134229911104353,6997.694875,559826.59,C,N,BY_BRANCH,2023-07-16 00:00:00
BK70134602,BK70134602TRNX20097K,FA2224398373944209,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11259759,BK11259759TRNX20097K,FA2545880652376088,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK22262906,BK22262906TRNX20097K,FA2510035862673610,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK83335394,BK83335394TRNX20097K,FA6382021408089238,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK53983584,BK53983584TRNX20097K,FA5213261088097046,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK13718821,BK13718821TRNX20097K,FA9070934130501262,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK73619055,BK73619055TRNX20097K,FA7367013266534025,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK45504629,BK45504629TRNX20097K,FA4302943773995722,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK12301595,BK12301595TRNX20097K,FA1221543550056188,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88615680,BK88615680TRNX20097K,FA2251111074814203,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK71093440,BK71093440TRNX20097K,FA6179632645253337,462.5,37011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK23211418,BK23211418TRNX20097K,FA3552119754983747,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88632647,BK88632647TRNX20097K,FA2843991326588204,69.26687500000001,5552.35,C,N,BY_BRANCH,2023-07-16 00:00:00
BK25985051,BK25985051TRNX20097K,FA5691402931101643,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK99636814,BK99636814TRNX20097K,FA6542557554287185,1927.5625,154216.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK44568130,BK44568130TRNX20097K,FA6136717538544656,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK81581082,BK81581082TRNX20097K,FA1936798029051496,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK81504191,BK81504191TRNX20097K,FA9946172352449078,13168.75,1053511.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK56174957,BK56174957TRNX20097K,FA9925334285208771,1476.625,118141.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK73857367,BK73857367TRNX20097K,FA7275302239333651,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK37051320,BK37051320TRNX20097K,FA7561807506312574,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK51511057,BK51511057TRNX20097K,FA6423947334786851,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK45784070,BK45784070TRNX20097K,FA8936334715312026,2588.817875,207116.43,C,N,BY_BRANCH,2023-07-16 00:00:00
BK78662500,BK78662500TRNX20097K,FA9924624689157628,3427.866875,274240.35,C,N,BY_BRANCH,2023-07-16 00:00:00
BK75648141,BK75648141TRNX20097K,FA6829677418561426,250.0,20011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK37793466,BK37793466TRNX20097K,FA9163841504598962,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK31932474,BK31932474TRNX20097K,FA7932212114222235,42.39700000000001,3402.76,C,N,BY_BRANCH,2023-07-16 00:00:00
BK95842075,BK95842075TRNX20097K,FA5096409721152848,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK54110756,BK54110756TRNX20097K,FA4771139366018837,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK97616647,BK97616647TRNX20097K,FA4634102463342082,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK26566345,BK26566345TRNX20097K,FA1139881137621193,486.325,38917.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK88774993,BK88774993TRNX20097K,FA3685656792667610,2617.9915,209450.32,C,N,BY_BRANCH,2023-07-16 00:00:00
BK68065183,BK68065183TRNX20097K,FA9709330787069647,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK67689295,BK67689295TRNX20097K,FA1855192012423583,168.75,13511.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK37786777,BK37786777TRNX20097K,FA5977463408252372,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK49614373,BK49614373TRNX20097K,FA8327835517870771,12.5,1011.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK11413790,BK11413790TRNX20097K,FA1587275056063598,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK36126518,BK36126518TRNX20097K,FA8140071721173406,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK52449258,BK52449258TRNX20097K,FA1656370583442456,153.5965,12298.72,C,N,BY_BRANCH,2023-07-16 00:00:00
BK83979590,BK83979590TRNX20097K,FA8838717397788513,0.125,21.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BK51829830,BK51829830TRNX20097K,FA4089233542697330,145.0,11611.0,C,N,BY_BRANCH,2023-07-16 00:00:00
BR91887390,BR91887390TRNX02027B,FA1656370583442456,49000.0,61287.0,C,N,BY_BRANCH,2023-07-17T01:16:21
CD50325667,CD50325667TRNX20077C,FA1656370583442456,43300.0,,C,Y,BY_CARD,2023-07-17T04:42:55
DI42084932,DI42084932TRNX02047D,FA2802645632285646,29000.0,29000.0,C,Y,BY_DIGITAL,2023-07-17T05:58:44
CD93503804,CD93503804TRNX20077C,FA2802645632285646,32100.0,,C,Y,BY_CARD,2023-07-17T07:19:58
BR33557463,BR33557463TRNX02027B,FA5567380637717840,9700.0,270080.0,C,N,BY_BRANCH,2023-07-17T09:29:31
DI87548602,DI87548602TRNX02047D,FA8427121053242687,200.0,33200.0,C,Y,BY_DIGITAL,2023-07-17T11:26:11
BR85926543,BR85926543TRNX02027B,FA8411058361844758,32.0,17.0,D,N,BY_BRANCH,2023-07-17T12:55:08
CD70925054,CD70925054TRNX20077C,FA8411058361844758,15300.0,,D,Y,BY_CARD,2023-07-17T14:13:19
DI33648516,DI33648516TRNX02047D,FA7275302239333651,4900.0,4900.0,C,Y,BY_DIGITAL,2023-07-17T15:06:17
DI84907983,DI84907983TRNX02047D,FA9163841504598962,19000.0,19000.0,C,Y,BY_DIGITAL,2023-07-17T15:36:22
BR37677785,BR37677785TRNX02027B,FA2245548812918621,7000.0,7133.0,C,N,BY_BRANCH,2023-07-17T16:27:47
BR50871870,BR50871870TRNX02027B,FA3552119754983747,3100.0,3100.0,C,N,BY_BRANCH,2023-07-17T16:44:15
DI64867608,DI64867608TRNX02047D,FA9330867803598704,2300.0,155925.0,C,Y,BY_DIGITAL,2023-07-17T17:35:50
DI92190417,DI92190417TRNX02047D,FA5776027580999807,27000.0,27000.0,C,Y,BY_DIGITAL,2023-07-17T19:19:45
BR59857166,BR59857166TRNX02027B,FA5567380637717840,38973.0,231107.0,D,N,BY_BRANCH,2023-07-17T19:37:31
DI45161839,DI45161839TRNX02047D,FA5469494469093142,154.0,7346.0,D,Y,BY_DIGITAL,2023-07-17T20:10:42
CD98452971,CD98452971TRNX20077C,FA5469494469093142,37900.0,,D,Y,BY_CARD,2023-07-17T23:02:32
BR35918145,BR35918145TRNX02027B,FA4970887718477579,509.0,169041.0,D,N,BY_BRANCH,2023-07-18T00:25:44
BR31246728,BR31246728TRNX02027B,FA1089453682731078,41000.0,150800.0,C,N,BY_BRANCH,2023-07-18T07:39:05
BR67805017,BR67805017TRNX02027B,FA9120365226525720,17000.0,17933.0,C,N,BY_BRANCH,2023-07-18T10:57:38
CD45962532,CD45962532TRNX20077C,FA9120365226525720,38600.0,,D,Y,BY_CARD,2023-07-18T12:04:49
BR85243457,BR85243457TRNX02027B,FA7033515582671609,25000.0,25000.0,C,N,BY_BRANCH,2023-07-18T12:15:14
DI66381469,DI66381469TRNX02047D,FA9745582290586187,470600.0,470600.0,C,Y,BY_DIGITAL,2023-07-18T15:56:54
BR48604201,BR48604201TRNX02027B,FA6347477741803500,40.0,214.0,D,N,BY_BRANCH,2023-07-18T16:47:23
DI35447954,DI35447954TRNX02047D,FA1842598740097556,20000.0,147605.0,C,Y,BY_DIGITAL,2023-07-18T23:09:13
BR96108984,BR96108984TRNX02027B,FA9120365226525720,7900.0,25833.0,C,N,BY_BRANCH,2023-07-19T00:39:26
CD28183784,CD28183784TRNX20077C,FA9120365226525720,11500.0,,C,Y,BY_CARD,2023-07-19T06:54:03
