cif_id,cust_first_name,cust_middle_name,cust_last_name,full_name,cust_type,cust_dob,gender,address_line,employment_status,salary_per_month,riskrating,marital_status,occupation,blacklisted,pan,email,cust_community,rating,constitution_code,constitution_code_desc,mobile_number,account_relationship_date
DLNLEG1154524,,,TAMOR ELECTRONICS PVT. LTD.,TAMOR ELECTRONICS PVT. LTD.,LEGAL,2018-05-17T00:00:00.000000,,GOPALI,,,,,,,PN19584,tamorelectronicspvt.ltd.4@outlook.org,,,PRIVA,PRIVATE LTD.,,2019-02-07T00:00:00.000000
DLNLEG4241338,,,HIMAL DAIRY PRODUCTS PVT. LTD.,HIMAL DAIRY PRODUCTS PVT. LTD.,LEGAL,2019-01-28T00:00:00.000000,,KANEPOKHARI,,,,,,,PN82988,himaldairyproductspvt.ltd.71@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-07T00:00:00.000000
DLNLEG4510139,,,SARLAHI ENGINEERING PVT. LTD.,SARLAHI ENGINEERING PVT. LTD.,LEGAL,2017-08-20T00:00:00.000000,,DAMAK,,,,,,,PN62014,sarlahiengineeringpvt.ltd.47@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-07T00:00:00.000000
DLNLEG5136242,,,BARDIYA SECURITY PVT. LTD.,BARDIYA SECURITY PVT. LTD.,LEGAL,2019-02-07T00:00:00.000000,,SISAIYA,,,,,,,PN39948,bardiyasecuritypvt.ltd.68@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-07T00:00:00.000000
DLNLEG6942029,,,LUMBINI TRAVELS PVT. LTD.,LUMBINI TRAVELS PVT. LTD.,LEGAL,2019-02-07T00:00:00.000000,,BUTWAL,,,,,,,PN58821,lumbinitravelspvt.ltd.6@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-07T00:00:00.000000
DLNLEG3837232,,,KHOTANG FOODS PVT. LTD.,KHOTANG FOODS PVT. LTD.,LEGAL,2019-02-05T00:00:00.000000,,BIBLYATE,,,,,,,PN62870,khotangfoodspvt.ltd.90@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-07T00:00:00.000000
DLNINDV2919270,NAVINA,,DHAMI,NAVINA DHAMI,INDIVIDUAL,1978-04-14T00:00:00.000000,F,TILOTAMA,,0.0,LOW RISK,MARRIED,TEACHER,N,PN88737,navina_dhami94@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779865888232.0,2016-10-27T00:00:00.000000
DLNLEG4073562,,,BIRGUNJ CHEMICALS PVT. LTD.,BIRGUNJ CHEMICALS PVT. LTD.,LEGAL,1986-08-17T00:00:00.000000,,SIRAHA,,,LOW RISK,,,,PN74879,birgunjchemicalspvt.ltd.86@outlook.org,,SATIS,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2012-05-31T00:00:00.000000
DLNINDV6430831,PAUDESH,,GORE,PAUDESH GORE,INDIVIDUAL,1974-04-17T00:00:00.000000,M,BFM,Self employed,41666.6666666666,LOW RISK,MARRIED,SERVICE,N,PN92098,paudesh_gore80@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779842378901.0,2021-02-10T00:00:00.000000
DLNINDV8239616,NIVEETA,,BARIYAIT,NIVEETA BARIYAIT,INDIVIDUAL,1993-02-12T00:00:00.000000,F,GAUTAM TOLE,Other,0.0,LOW RISK,MARRIED,SERVICE,N,PN72419,niveeta_bariyait32@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779822570189.0,2021-03-10T00:00:00.000000
DLNLEG9235952,,,ROLPA CONSTRUCTIONS PVT. LTD.,ROLPA CONSTRUCTIONS PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LEVEL 1 HIGH RISK (H1),,,,PN47570,rolpaconstructionspvt.ltd.50@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2010-07-06T00:00:00.000000
DLNINDV7905170,INDUJA,,CHADUHARY,INDUJA CHADUHARY,INDIVIDUAL,1969-06-10T00:00:00.000000,F,BUTWAL,Employed,0.0,LOW RISK,MARRIED,BUSINESSMAN,N,PN27907,induja_chaduhary43@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779861300888.0,2010-10-26T00:00:00.000000
DLNLEG5414731,,,LUMBINI INTERNATIONAL PVT. LTD.,LUMBINI INTERNATIONAL PVT. LTD.,LEGAL,2019-04-15T00:00:00.000000,,TILOTTAMA,,,,,,,PN34071,lumbiniinternationalpvt.ltd.65@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2020-09-14T00:00:00.000000
DLNLEG5877311,,,EVEREST FOOTWEAR PVT. LTD.,EVEREST FOOTWEAR PVT. LTD.,LEGAL,2021-07-23T00:00:00.000000,,SASHINAGAR,,,,,,,PN96074,everestfootwearpvt.ltd.90@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2021-09-12T00:00:00.000000
DLNINDV6095697,CHINTAN,,SHRESTAH,CHINTAN SHRESTAH,INDIVIDUAL,1962-09-04T00:00:00.000000,M,CHARGHARE,Housewife,25000.0,LOW RISK,MARRIED,HOUSEWIFE,N,PN71788,chintan_shrestah71@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779813480805.0,2019-01-23T00:00:00.000000
DLNINDV4897047,HUTRAJ,,CHOKHANI,HUTRAJ CHOKHANI,INDIVIDUAL,1986-08-11T00:00:00.000000,M,LAHAN,Employed,0.0,LOW RISK,MARRIED,DOCTOR,N,PN33701,hutraj_chokhani66@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,97798659812348.0,2012-09-23T00:00:00.000000
DLNLEG6754007,,,MAHENDRANAGAR CONSULTANCY PVT. LTD.,MAHENDRANAGAR CONSULTANCY PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,KATAHARI,,,LEVEL 1 HIGH RISK (H1),,NOT AVAILABLE,,PN76678,mahendranagarconsultancypvt.ltd.34@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,1999-06-15T00:00:00.000000
DLNINDV8271578,ARON,,DHMANIYA,ARON DHMANIYA,INDIVIDUAL,1959-10-16T00:00:00.000000,M,"W.N-12,TEKU ROAD,TRIPURESHWOR,P.BOX:1939",Employed,0.0,LOW RISK,MARRIED,BUSINESSMAN,N,PN98087,aron_dhmaniya36@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,97798634241182.0,2009-03-29T00:00:00.000000
DLNLEG4609354,,,MUSTANG CARPENTRY PVT. LTD.,MUSTANG CARPENTRY PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LOW RISK,,NOT AVAILABLE,,PN67029,mustangcarpentrypvt.ltd.45@outlook.org,,GOOD,OTHER,OTHERS,,2009-05-31T00:00:00.000000
DLNINDV7517090,SMARIKA,,KAUCHHA,SMARIKA KAUCHHA,INDIVIDUAL,2019-03-29T00:00:00.000000,F,BHRIKUTI TOLE,Other,0.0,LOW RISK,UNMARRIED,UNEMPLOYED,N,PN81557,smarika_kauchha75@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779841011889.0,2020-03-16T00:00:00.000000
DLNLEG5591859,,,MYAGDI ENTERPRISES LTD.,MYAGDI ENTERPRISES LTD.,LEGAL,2018-03-14T00:00:00.000000,,SAYAL,,,,,,N,PN26971,myagdienterprisesltd.65@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2023-02-07T00:00:00.000000
DLNINDV3007895,BINISHA,,PARWEEN,BINISHA PARWEEN,INDIVIDUAL,1982-06-01T00:00:00.000000,F,UTTARBEHADI,Self employed,66666.6666666666,LOW RISK,MARRIED,SELF-EMPLOYED,N,PN74380,binisha_parween63@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779849382738.0,2020-12-03T00:00:00.000000
DLNLEG5438686,,,SOLU HYDROPOWER PVT. LTD.,SOLU HYDROPOWER PVT. LTD.,LEGAL,2017-11-20T00:00:00.000000,,BALAJU,,,,,,N,PN93947,soluhydropowerpvt.ltd.10@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2023-04-07T00:00:00.000000
DLNLEG1223219,,,SYANGJA FOOTWEAR PVT. LTD.,SYANGJA FOOTWEAR PVT. LTD.,LEGAL,1994-05-27T00:00:00.000000,,"MALANGAWA-9, SARLAHI",,,LOW RISK,,NOT AVAILABLE,N,PN89533,syangjafootwearpvt.ltd.5@outlook.org,,SATIS,COOPE,CO-OPERATIVES,,2010-01-07T00:00:00.000000
DLNLEG5521521,,,RUKUM CO-OP FINANCE LTD.,RUKUM CO-OP FINANCE LTD.,LEGAL,1900-01-01T00:00:00.000000,,"W.NO-01, DUMRE, BANDIPUR, TANANUN",,,LOW RISK,,NOT AVAILABLE,N,PN88322,rukumco-opfinanceltd.93@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2017-11-15T00:00:00.000000
DLNLEG1364460,,,ANNAPURNA HOTELS LTD.,ANNAPURNA HOTELS LTD.,LEGAL,2010-02-17T00:00:00.000000,,BAGBAZAR,,,MEDIUM RISK,,,N,PN83694,annapurnahotelsltd.96@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2010-02-25T00:00:00.000000
DLNLEG1691480,,,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,BHIMSEN AGRICULTURAL COOPERATIVE LTD.,LEGAL,2011-02-07T00:00:00.000000,,BANIYANI,,,,,,N,PN46018,bhimsenagriculturalcooperativeltd.17@outlook.org,,,COOPE,CO-OPERATIVES,,2018-12-04T00:00:00.000000
DLNINDV9410952,MANABI,,KHASU,MANABI KHASU,INDIVIDUAL,1959-09-29T00:00:00.000000,F,YALADI,Housewife,16666.6666666666,LOW RISK,MARRIED,HOUSEWIFE,N,PN93322,manabi_khasu74@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779805268944.0,2023-09-13T00:00:00.000000
DLNINDV7846879,AMALENDU,,KALAKHETI,AMALENDU KALAKHETI,INDIVIDUAL,2005-05-18T00:00:00.000000,M,GARDUAL,STUDENT,8333.33333333333,LOW RISK,UNMARRIED,STUDENT,N,PN78493,amalendu_kalakheti13@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779829243528.0,2023-10-13T00:00:00.000000
DLNINDV6483439,URGENA,,SINKEMANA,URGENA SINKEMANA,INDIVIDUAL,2013-01-09T00:00:00.000000,F,"BIRTAMOD-01, JHAPA",,0.0,LOW RISK,UNMARRIED,STUDENT,N,PN18717,urgena_sinkemana48@gmail.com,HINDU,GOOD,INDIV,INDIVIDUAL,9779842625853.0,2015-09-27T00:00:00.000000
DLNINDV9517725,SEEJAL,,RAJPAL,SEEJAL RAJPAL,INDIVIDUAL,1970-03-26T00:00:00.000000,F,"WN NO.-8,GURJUDHARA,CHANDRAGIRI",,0.0,LOW RISK,MARRIED,HOUSEWIFE,N,PN93613,seejal_rajpal40@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9860234034539.0,2016-04-03T00:00:00.000000
DLNLEG9381789,,,SARLAHI PLASTIC PRODUCTS PVT. LTD.,SARLAHI PLASTIC PRODUCTS PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,RAUTAHAT NEPAL,,,LOW RISK,,NOT AVAILABLE,N,PN47010,sarlahiplasticproductspvt.ltd.58@outlook.org,,SATIS,NGO,NON GOVERNMENT ORGANIZATION,,2010-12-31T00:00:00.000000
DLNLEG9737048,,,SINDHULI AGRO PVT. LTD.,SINDHULI AGRO PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,AWA ROAD,,,LOW RISK,,,N,PN28150,sindhuliagropvt.ltd.36@outlook.org,,SATIS,OTHER,OTHERS,,2002-09-10T00:00:00.000000
DLNLEG5961428,,,NEPAL FINANCE GROUP LTD.,NEPAL FINANCE GROUP LTD.,LEGAL,1900-01-01T00:00:00.000000,,"KHAJURA-04,BANKE",,,LOW RISK,,NOT AVAILABLE,N,PN28560,nepalfinancegroupltd.80@outlook.org,,SATIS,PUBLI,PUBLIC LTD.,,2017-09-04T00:00:00.000000
DLNINDV7160778,NIKUNJAN,,DUGU,NIKUNJAN DUGU,INDIVIDUAL,1999-09-10T00:00:00.000000,M,BIHAR KUND,Salaried,33333.3333333333,LOW RISK,UNMARRIED,SERVICE,N,PN35308,nikunjan_dugu88@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779819613390.0,2020-02-11T00:00:00.000000
DLNINDV2661853,SIRAPA,,ROHIT,SIRAPA ROHIT,INDIVIDUAL,1978-04-14T00:00:00.000000,F,TILOTAMA,,,LOW RISK,,TEACHER,N,PN10779,rohit_sirapa94@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,,
